1485371755938|105|52
1485371755959|104|45
1485371756019|108|51
1485371756189|103|45
1485371756278|107|52
1485371756358|100|47
1485371756388|106|51
1485371756388|102|51
1485371756489|101|55
1485371756510|105|47
1485371756528|104|41
1485371756608|108|46
1485371756739|103|41
1485371756889|107|56
1485371756940|100|51
1485371756978|102|47
1485371756978|106|52
1485371757028|101|57
1485371757059|104|40
1485371757108|105|43
1485371757228|108|47
1485371757330|103|36
1485371757488|107|58
1485371757507|100|53
1485371757518|102|51
1485371757540|106|51
1485371757559|101|58
1485371757650|104|43
1485371757710|105|44
1485371757848|108|50
1485371757940|103|36
1485371758080|107|56
1485371758089|102|52
1485371758099|100|53
1485371758099|106|55
1485371758127|101|62
1485371758247|104|42
1485371758320|105|49
1485371758460|108|48
1485371758548|103|36
1485371758628|106|56
1485371758650|102|48
1485371758659|100|56
1485371758688|107|51
1485371758697|101|63
1485371758839|104|40
1485371758918|105|52
1485371759048|108|43
1485371759087|103|33
1485371759200|100|56
1485371759200|102|45
1485371759218|106|53
1485371759268|107|50
1485371759280|101|59
1485371759429|104|38
1485371759519|105|54
1485371759589|108|44
1485371759678|103|36
1485371759748|100|59
1485371759757|106|49
1485371759789|102|46
1485371759799|107|49
1485371759880|101|59
1485371759969|104|38
1485371760060|105|51
1485371760129|108|45
1485371760290|103|41
1485371760299|100|56
1485371760308|106|54
1485371760329|107|49
1485371760329|102|47
1485371760469|101|56
1485371760567|104|36
1485371760649|108|46
1485371760667|105|51
1485371760858|106|56
1485371760870|100|53
1485371760898|102|44
1485371760907|103|41
1485371760917|107|51
1485371761008|101|60
1485371761147|104|38
1485371761197|105|53
1485371761247|108|48
1485371761440|102|48
1485371761460|100|50
1485371761460|107|55
1485371761478|106|52
1485371761498|103|45
1485371761610|101|65
1485371761739|104|41
1485371761789|108|44
1485371761810|105|52
1485371762030|102|44
1485371762068|107|51
1485371762068|106|57
1485371762079|100|55
1485371762098|103|48
1485371762227|101|68
1485371762270|104|40
1485371762380|108|46
1485371762407|105|52
1485371762609|100|58
1485371762630|102|45
1485371762639|107|50
1485371762670|103|49
1485371762670|106|58
1485371762808|101|71
1485371762828|104|44
1485371762939|105|49
1485371762957|108|50
1485371763168|107|55
1485371763179|100|62
1485371763207|102|41
1485371763258|103|49
1485371763278|106|53
1485371763369|104|48
1485371763399|101|73
1485371763510|105|50
1485371763558|108|45
1485371763710|107|57
1485371763768|100|58
1485371763799|103|45
1485371763809|106|53
1485371763820|102|42
1485371763898|104|49
1485371763977|101|70
1485371764049|105|49
1485371764169|108|42
1485371764319|107|54
1485371764349|102|43
1485371764349|103|50
1485371764359|100|63
1485371764388|106|54
1485371764458|104|47
1485371764570|101|67
1485371764619|105|45
1485371764780|108|43
1485371764900|107|53
1485371764929|103|55
1485371764957|102|46
1485371764977|100|59
1485371764977|106|52
1485371765000|104|42
1485371765099|101|68
1485371765148|105|48
1485371765350|108|47
1485371765430|107|48
1485371765520|103|57
1485371765540|104|43
1485371765559|106|57
1485371765559|102|43
1485371765599|100|54
1485371765649|101|72
1485371765759|105|49
1485371765948|108|42
1485371766029|107|53
1485371766119|102|38
1485371766119|103|59
1485371766119|106|54
1485371766139|104|48
1485371766179|100|55
1485371766210|101|69
1485371766339|105|53
1485371766520|108|44
1485371766619|107|54
1485371766658|103|62
1485371766667|106|53
1485371766677|102|37
1485371766707|100|60
1485371766758|104|50
1485371766810|101|74
1485371766880|105|54
1485371767129|108|40
1485371767158|107|54
1485371767207|103|64
1485371767239|106|51
1485371767239|102|40
1485371767297|100|60
1485371767320|104|51
1485371767358|101|76
1485371767470|105|55
1485371767719|108|38
1485371767749|107|58
1485371767768|102|43
1485371767788|103|65
1485371767799|106|53
1485371767869|100|62
1485371767909|101|74
1485371767937|104|49
1485371768027|105|51
1485371768279|107|53
1485371768329|106|56
1485371768329|108|36
1485371768367|103|67
1485371768379|102|41
1485371768429|100|61
1485371768469|101|73
1485371768479|104|46
1485371768599|105|53
1485371768850|106|60
1485371768869|107|50
1485371768907|108|38
1485371768979|102|36
1485371768979|103|66
1485371769027|100|61
1485371769038|101|68
1485371769038|104|47
1485371769209|105|50
1485371769378|106|59
1485371769408|107|49
1485371769479|108|36
1485371769509|102|31
1485371769579|103|67
1485371769608|100|56
1485371769619|101|68
1485371769657|104|50
1485371769759|105|55
1485371769899|106|54
1485371770007|108|32
1485371770027|107|44
1485371770049|102|27
1485371770139|103|63
1485371770207|104|51
1485371770207|101|64
1485371770227|100|59
